case,design,arm,batch,quantity,value
Case 1: Clear winner,Control-augmented,alt8,9,posterior_prob,0.0062
Case 1: Clear winner,Control-augmented,best,10,posterior_prob,0.8948
Case 1: Clear winner,Control-augmented,alt1,10,posterior_prob,0.0218
Case 1: Clear winner,Control-augmented,alt2,10,posterior_prob,0
Case 1: Clear winner,Control-augmented,alt3,10,posterior_prob,0.0126
Case 1: Clear winner,Control-augmented,alt4,10,posterior_prob,0.0062
Case 1: Clear winner,Control-augmented,alt5,10,posterior_prob,0.0288
Case 1: Clear winner,Control-augmented,alt6,10,posterior_prob,0.0048
Case 1: Clear winner,Control-augmented,alt7,10,posterior_prob,0.0226
Case 1: Clear winner,Control-augmented,alt8,10,posterior_prob,0.0084
Case 1: Clear winner,Control-augmented,best,0,cumulative_n,0
Case 1: Clear winner,Control-augmented,alt1,0,cumulative_n,0
Case 1: Clear winner,Control-augmented,alt2,0,cumulative_n,0
Case 1: Clear winner,Control-augmented,alt3,0,cumulative_n,0
Case 1: Clear winner,Control-augmented,alt4,0,cumulative_n,0
Case 1: Clear winner,Control-augmented,alt5,0,cumulative_n,0
Case 1: Clear winner,Control-augmented,alt6,0,cumulative_n,0
Case 1: Clear winner,Control-augmented,alt7,0,cumulative_n,0
Case 1: Clear winner,Control-augmented,alt8,0,cumulative_n,0
Case 1: Clear winner,Control-augmented,best,1,cumulative_n,12
Case 1: Clear winner,Control-augmented,alt1,1,cumulative_n,12
Case 1: Clear winner,Control-augmented,alt2,1,cumulative_n,16
Case 1: Clear winner,Control-augmented,alt3,1,cumulative_n,10
Case 1: Clear winner,Control-augmented,alt4,1,cumulative_n,9
Case 1: Clear winner,Control-augmented,alt5,1,cumulative_n,3
Case 1: Clear winner,Control-augmented,alt6,1,cumulative_n,15
Case 1: Clear winner,Control-augmented,alt7,1,cumulative_n,13
Case 1: Clear winner,Control-augmented,alt8,1,cumulative_n,10
Case 1: Clear winner,Control-augmented,best,2,cumulative_n,33
Case 1: Clear winner,Control-augmented,alt1,2,cumulative_n,20
Case 1: Clear winner,Control-augmented,alt2,2,cumulative_n,25
Case 1: Clear winner,Control-augmented,alt3,2,cumulative_n,15
Case 1: Clear winner,Control-augmented,alt4,2,cumulative_n,10
Case 1: Clear winner,Control-augmented,alt5,2,cumulative_n,15
Case 1: Clear winner,Control-augmented,alt6,2,cumulative_n,15
Case 1: Clear winner,Control-augmented,alt7,2,cumulative_n,57
Case 1: Clear winner,Control-augmented,alt8,2,cumulative_n,10
Case 1: Clear winner,Control-augmented,best,3,cumulative_n,70
Case 1: Clear winner,Control-augmented,alt1,3,cumulative_n,20
Case 1: Clear winner,Control-augmented,alt2,3,cumulative_n,42
Case 1: Clear winner,Control-augmented,alt3,3,cumulative_n,15
Case 1: Clear winner,Control-augmented,alt4,3,cumulative_n,10
Case 1: Clear winner,Control-augmented,alt5,3,cumulative_n,17
Case 1: Clear winner,Control-augmented,alt6,3,cumulative_n,15
Case 1: Clear winner,Control-augmented,alt7,3,cumulative_n,97
Case 1: Clear winner,Control-augmented,alt8,3,cumulative_n,14
Case 1: Clear winner,Control-augmented,best,4,cumulative_n,82
Case 1: Clear winner,Control-augmented,alt1,4,cumulative_n,26
Case 1: Clear winner,Control-augmented,alt2,4,cumulative_n,88
Case 1: Clear winner,Control-augmented,alt3,4,cumulative_n,22
Case 1: Clear winner,Control-augmented,alt4,4,cumulative_n,12
Case 1: Clear winner,Control-augmented,alt5,4,cumulative_n,29
Case 1: Clear winner,Control-augmented,alt6,4,cumulative_n,16
Case 1: Clear winner,Control-augmented,alt7,4,cumulative_n,105
Case 1: Clear winner,Control-augmented,alt8,4,cumulative_n,20
Case 1: Clear winner,Control-augmented,best,5,cumulative_n,104
Case 1: Clear winner,Control-augmented,alt1,5,cumulative_n,31
Case 1: Clear winner,Control-augmented,alt2,5,cumulative_n,99
Case 1: Clear winner,Control-augmented,alt3,5,cumulative_n,25
Case 1: Clear winner,Control-augmented,alt4,5,cumulative_n,15
Case 1: Clear winner,Control-augmented,alt5,5,cumulative_n,37
Case 1: Clear winner,Control-augmented,alt6,5,cumulative_n,17
Case 1: Clear winner,Control-augmented,alt7,5,cumulative_n,130
Case 1: Clear winner,Control-augmented,alt8,5,cumulative_n,42
Case 1: Clear winner,Control-augmented,best,6,cumulative_n,142
Case 1: Clear winner,Control-augmented,alt1,6,cumulative_n,32
Case 1: Clear winner,Control-augmented,alt2,6,cumulative_n,115
Case 1: Clear winner,Control-augmented,alt3,6,cumulative_n,34
Case 1: Clear winner,Control-augmented,alt4,6,cumulative_n,17
Case 1: Clear winner,Control-augmented,alt5,6,cumulative_n,40
Case 1: Clear winner,Control-augmented,alt6,6,cumulative_n,17
Case 1: Clear winner,Control-augmented,alt7,6,cumulative_n,138
Case 1: Clear winner,Control-augmented,alt8,6,cumulative_n,65
Case 1: Clear winner,Control-augmented,best,7,cumulative_n,197
Case 1: Clear winner,Control-augmented,alt1,7,cumulative_n,32
Case 1: Clear winner,Control-augmented,alt2,7,cumulative_n,152
Case 1: Clear winner,Control-augmented,alt3,7,cumulative_n,35
Case 1: Clear winner,Control-augmented,alt4,7,cumulative_n,18
Case 1: Clear winner,Control-augmented,alt5,7,cumulative_n,41
Case 1: Clear winner,Control-augmented,alt6,7,cumulative_n,18
Case 1: Clear winner,Control-augmented,alt7,7,cumulative_n,142
Case 1: Clear winner,Control-augmented,alt8,7,cumulative_n,65
Case 1: Clear winner,Control-augmented,best,8,cumulative_n,240
Case 1: Clear winner,Control-augmented,alt1,8,cumulative_n,33
Case 1: Clear winner,Control-augmented,alt2,8,cumulative_n,207
Case 1: Clear winner,Control-augmented,alt3,8,cumulative_n,36
Case 1: Clear winner,Control-augmented,alt4,8,cumulative_n,18
Case 1: Clear winner,Control-augmented,alt5,8,cumulative_n,41
Case 1: Clear winner,Control-augmented,alt6,8,cumulative_n,18
Case 1: Clear winner,Control-augmented,alt7,8,cumulative_n,142
Case 1: Clear winner,Control-augmented,alt8,8,cumulative_n,65
Case 1: Clear winner,Control-augmented,best,9,cumulative_n,293
Case 1: Clear winner,Control-augmented,alt1,9,cumulative_n,33
Case 1: Clear winner,Control-augmented,alt2,9,cumulative_n,250
Case 1: Clear winner,Control-augmented,alt3,9,cumulative_n,36
Case 1: Clear winner,Control-augmented,alt4,9,cumulative_n,18
Case 1: Clear winner,Control-augmented,alt5,9,cumulative_n,43
Case 1: Clear winner,Control-augmented,alt6,9,cumulative_n,18
Case 1: Clear winner,Control-augmented,alt7,9,cumulative_n,144
Case 1: Clear winner,Control-augmented,alt8,9,cumulative_n,65
Case 1: Clear winner,Control-augmented,best,10,cumulative_n,339
Case 1: Clear winner,Control-augmented,alt1,10,cumulative_n,34
Case 1: Clear winner,Control-augmented,alt2,10,cumulative_n,298
Case 1: Clear winner,Control-augmented,alt3,10,cumulative_n,37
Case 1: Clear winner,Control-augmented,alt4,10,cumulative_n,18
Case 1: Clear winner,Control-augmented,alt5,10,cumulative_n,45
Case 1: Clear winner,Control-augmented,alt6,10,cumulative_n,19
Case 1: Clear winner,Control-augmented,alt7,10,cumulative_n,145
Case 1: Clear winner,Control-augmented,alt8,10,cumulative_n,65
Case 1: Clear winner,Static,best,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Static,alt1,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Static,alt2,0,posterior_prob,0.1111111111111111
