case,design,arm,batch,posterior_prob
Case 2: No clear winner,Static,alt4,5,0.3652
Case 2: No clear winner,Static,alt5,5,0.0046
Case 2: No clear winner,Static,alt6,5,0.04
Case 2: No clear winner,Static,alt7,5,0.1624
Case 2: No clear winner,Static,alt8,5,0.1172
Case 2: No clear winner,Static,best,6,0.1338
Case 2: No clear winner,Static,alt1,6,0.0178
Case 2: No clear winner,Static,alt2,6,0.0064
Case 2: No clear winner,Static,alt3,6,0.0526
Case 2: No clear winner,Static,alt4,6,0.1712
Case 2: No clear winner,Static,alt5,6,0.018
Case 2: No clear winner,Static,alt6,6,0.102
Case 2: No clear winner,Static,alt7,6,0.2152
Case 2: No clear winner,Static,alt8,6,0.283
Case 2: No clear winner,Static,best,7,0.0894
Case 2: No clear winner,Static,alt1,7,0.0302
Case 2: No clear winner,Static,alt2,7,0.0308
Case 2: No clear winner,Static,alt3,7,0.0402
Case 2: No clear winner,Static,alt4,7,0.0912
Case 2: No clear winner,Static,alt5,7,0.0252
Case 2: No clear winner,Static,alt6,7,0.0738
Case 2: No clear winner,Static,alt7,7,0.2474
Case 2: No clear winner,Static,alt8,7,0.3718
Case 2: No clear winner,Static,best,8,0.0614
Case 2: No clear winner,Static,alt1,8,0.0266
Case 2: No clear winner,Static,alt2,8,0.0142
Case 2: No clear winner,Static,alt3,8,0.038
Case 2: No clear winner,Static,alt4,8,0.0432
Case 2: No clear winner,Static,alt5,8,0.0102
Case 2: No clear winner,Static,alt6,8,0.2058
Case 2: No clear winner,Static,alt7,8,0.1384
Case 2: No clear winner,Static,alt8,8,0.4622
Case 2: No clear winner,Static,best,9,0.0444
Case 2: No clear winner,Static,alt1,9,0.0136
Case 2: No clear winner,Static,alt2,9,0.0298
Case 2: No clear winner,Static,alt3,9,0.0906
Case 2: No clear winner,Static,alt4,9,0.0726
Case 2: No clear winner,Static,alt5,9,0.018
Case 2: No clear winner,Static,alt6,9,0.297
Case 2: No clear winner,Static,alt7,9,0.1012
Case 2: No clear winner,Static,alt8,9,0.3328
Case 2: No clear winner,Static,best,10,0.0582
Case 2: No clear winner,Static,alt1,10,0.0222
Case 2: No clear winner,Static,alt2,10,0.0458
Case 2: No clear winner,Static,alt3,10,0.0688
Case 2: No clear winner,Static,alt4,10,0.086
Case 2: No clear winner,Static,alt5,10,0.0224
Case 2: No clear winner,Static,alt6,10,0.3574
Case 2: No clear winner,Static,alt7,10,0.137
Case 2: No clear winner,Static,alt8,10,0.2022
Case 3: Competing second best,Thompson sampling,best,0,0.1111111111111111
