design,batch,profile,posterior_prob,Z_1,Z_2,Z_3,Z_4
Adaptive,1,28,5.2e-4,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,2,28,8.5e-4,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,3,28,0.0041,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,4,28,0.02113,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,5,28,0.01313,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,6,28,0.0047,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,7,28,2.9e-4,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,8,28,1.9e-4,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,9,28,7e-4,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,10,28,0.00103,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,0,29,0.005208333333333333,No limits,"Prohibit candidate;
 allow PAC",1:1 match,Disclose > $200
Adaptive,1,29,8.1e-4,No limits,"Prohibit candidate;
 allow PAC",1:1 match,Disclose > $200
