table_figure,algorithm,case,batches,best_arm_value,first_batch,statistic,value_paper
table_d4,TS,1,NA,NA,100,correct,0.968
table_d4,TS,1,NA,NA,100,rmse_best,0.021
table_d4,TS,1,NA,NA,100,rmse_te,0.057
table_d4,TS,1,NA,NA,100,cov_best,0.958
table_d4,TS,1,NA,NA,100,cov_te,0.795
table_d4,TS,1,NA,NA,190,correct,0.965
table_d4,TS,1,NA,NA,190,rmse_best,0.021
table_d4,TS,1,NA,NA,190,rmse_te,0.058
table_d4,TS,1,NA,NA,190,cov_best,0.958
table_d4,TS,1,NA,NA,190,cov_te,0.760
table_d4,TS,1,NA,NA,280,correct,0.971
table_d4,TS,1,NA,NA,280,rmse_best,0.021
table_d4,TS,1,NA,NA,280,rmse_te,0.059
table_d4,TS,1,NA,NA,280,cov_best,0.964
table_d4,TS,1,NA,NA,280,cov_te,0.747
table_d4,TS,1,NA,NA,370,correct,0.969
table_d4,TS,1,NA,NA,370,rmse_best,0.022
table_d4,TS,1,NA,NA,370,rmse_te,0.059
table_d4,TS,1,NA,NA,370,cov_best,0.958
table_d4,TS,1,NA,NA,370,cov_te,0.755
table_d4,TS,1,NA,NA,460,correct,0.967
table_d4,TS,1,NA,NA,460,rmse_best,0.023
table_d4,TS,1,NA,NA,460,rmse_te,0.058
table_d4,TS,1,NA,NA,460,cov_best,0.958
table_d4,TS,1,NA,NA,460,cov_te,0.807
table_d4,TS,1,NA,NA,550,correct,0.971
table_d4,TS,1,NA,NA,550,rmse_best,0.024
table_d4,TS,1,NA,NA,550,rmse_te,0.055
table_d4,TS,1,NA,NA,550,cov_best,0.960
table_d4,TS,1,NA,NA,550,cov_te,0.866
table_d4,TS,1,NA,NA,640,correct,0.966
table_d4,TS,1,NA,NA,640,rmse_best,0.025
table_d4,TS,1,NA,NA,640,rmse_te,0.052
table_d4,TS,1,NA,NA,640,cov_best,0.954
